k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
11,1,,,,,,A_positive
11,2,,,,,,A_positive
11,3,,,,,,A_positive
11,4,,,,,,A_positive
11,5,,,,,,A_positive
11,6,,,,,,A_positive
11,7,,,,,,A_positive
11,8,,,,,,A_positive
11,9,,,,,,A_positive
11,10,,,,,,A_positive
11,11,,,,,,A_positive
11,1,,,,,,A_negative
11,2,,,,,,A_negative
11,3,,,,,,A_negative
11,4,,,,,,A_negative
11,5,,,,,,A_negative
11,6,,,,,,A_negative
11,7,,,,,,A_negative
11,8,,,,,,A_negative
11,9,,,,,,A_negative
11,10,,,,,,A_negative
11,11,,,,,,A_negative
11,1,,,,,,B
11,2,,,,,,B
11,3,,,,,,B
11,4,,,,,,B
11,5,,,,,,B
11,6,,,,,,B
11,7,,,,,,B
11,8,,,,,,B
11,9,,,,,,B
11,10,,,,,,B
11,11,,,,,,B
